English Term;Turkish Term
Bootstrapping remote security key infrastructure ;Uzaktan güvenlik anahtarı altyapısını önyüklemesi
Border gateway protocol;Sınır ağgeçidi kuralı
Border gateway protocol secure routing extension ;Sınır geçidi kuralı güvenli yönelendirme uzantısı
Border gateway protocol security ;Sınır geçidi kuralı güvenliği
Bot;Robot
Bot master;Robot yöneticisi
Botnet;Köle ağ
Boundary;Sınır
Boundary protection;Sınır koruması
Boundary protection;device Sınır koruma aygıtı
Boundary value;Sınır değeri
Breach;İhlal etme
Breadth;Genişlik
Bridge;Köprü
Bring your own computer;Kendi bilgisayarınızı getirin
Bring your own device;Kendi aygıtınızı getirin
Bring your own laptop;Kendi dizüstü bilgisayarınızı getirin
Broad network access;Geniş ağ erişimi
Broadcast;Yayın
Broadcast address;Yayın adresi
Broadcast integrity;protocol Yayın bütünlüğü protokolü
Brokered trust;Aracılı güven
Browser;Tarayıcı
Browser hijacking;Tarayıcıyı ele geçirme
Browsing;Tarama
Brute force;Kaba kuvvet
Brute force attack;Kaba kuvvet saldırısı
Brute force password attack;Kaba kuvvet şifre saldırısı
Budget cost of work performed;Yapılan işin bütçe maliyeti
Budget year;Bütçe yılı
Budgeted cost of work scheduled;Planlanan işin bütçelenmiş maliyeti
Buffer overflow;Arabellek taşması
Buffer overflow attack;Arabellek taşması saldırısı
Bug;Hata
Bug bounty hunter;Ödül avcısı
Bug fix;Hata düzeltme
Bugs framework;Hata çerçevesi
Bulk encryption;Toplu şifreleme
Bump in the stack;Yığında çarpma
Business areas;İş alanları
Business associate;İş ortağı
Business associate contract;İş ortağı sözleşmesi
Business case analysis;İş durum çözümlemesi
Business continuity;İş sürekliliği
Business continuity planning;İş sürekliliği planlaması
Business disruption;İş kesintisi
Business impact analysis;İş etki çözümlemesi
Business impact analysis;İş etki çözümlemesi
Business impact analysis assessment;İş etki çözümlemesi değerlendirmesi
Business impact assessment;İş etki değerlendirmesi
Business mission area;İş görev alanı
Business operation support services;İş işletim destek hizmetleri
Business process markup language;İş süreci biçimlendirme dili
Business process specification schema ;İş süreci özellik şeması
Business reference model;İş örnek modeli
Business-to-business;İşten işe
Business/mission objectives;-İş/görev hedefleri 
Buyer;Alıcı
Byte;Sekizli
Byte length;Sekizli uzunluğu
Byte string;Sekizli dizgisi
Byte string to integer conversion routine ;Sekizliden tamsayıya dönüştürme yordamı
Byzantine fault tolerant;Bizans aksaklığa dayanıklı ( C )
Cache;Önbellek
Cache cramming;Önbellek tıkama
Cache poisoning;Önbellek zehirlenmesi
Calibration;Ölçünlü ayarlama
Call admission control;Çağrı kabül denetimi
Call back;Geri aramak
Call detail record;Çağrı ayrıntı kaydı
Call processor;Çağrı işlemcisi
Candidate checklist;Aday denetim listesi
Candidate for deletion;Silinecek aday
Canister;Teneke kutu
Capability;Yetenek
Capability list;Yetenek listesi
Capability maturity model integration;Yetenek olgunluk modeli bütünleşmesi
Capability requirement;Yetenek gereksinimi
Capability anomalous event detection management ;Aykırı olay algılama yönetimi yeteneği
Capability anomalous event response and recovery management;Aykırı olay yanıtı ve kurtarma yönetimi yeteneği 
Capability boundary management ;Sınır yönetimi yeteneği 
Capability configuration settings management;Yapılandırma ayarları yönetim yeteneği
Capability credentials and authentication management;Kimlik bilgileri ve kimlik doğrulama yönetim yeteneği 
Capability event preparation management ;Etkinlik hazırlama yönetim yeteneği
Capability hardware asset management ;Donanım varlık yönetim yeteneği 
Capability manage and assess risk ;Riski yönetme ve değerlendirme yeteneği 
Capability perform resilient systems engineering ;Dayanıklı sistem mühendisliği yapabilme yeteneği 
Capability privilege and account management ;Ayrıcalık ve hesap yönetim yeteneği 
Capability security;Güvenlik yeteneği 
Capability software asset management ;Yazılım varlık yönetim yeteneği 
Capability trust management ;Güven yönetimi yeteneği 
 Capability vulnerability management ;Güvenlik açığı yönetim yeteneği
Capacity planning;Kapasite planlaması
Capital expenditures;Sermaye harcamaları
Capital planning and investment control;Sermaye planlaması ve yatırım denetimi
Capital planning investment control ;Sermaye planlama yatırım denetimi
Capture;Yakalamak
Card;Kart
Card application;Kart başvurusu
Card authentication key;Kart kimlik doğrulama anahtarı
Card capability container;Kart yetenek kutusu
Card holder unique;identifier
Kart sahibinin benzersiz;tanımlayıcısı
Card management;Kart yönetimi
Card management system;Kart yönetim sistemi
Card management system to the card ;Kart yönetim sisteminden karta
Card not present;Kart mevcut değil
Card reader;Kart okuyucu
Card verifiable;Doğrulanabilir kart
Card verifiable certificate;Doğrulanabilir kart sertifikası
Cardholder;Kart sahibi
Cardholder to card;Kart sahibinden karta
Cardholder to external system;Kart sahibinden dış sisteme
Cardholder unique identifier;Kart sahibinin benzersiz tanımlayıcısı
Career and technical;education Kariyer ve teknik eğitim
Career and technical;student organization Kariyer ve teknik öğrenci örgütü
Cascaded connections;Basamaklı bağlantılar
Cascaded style sheet;Basamaklı biçem sayfası Cascading (cross domain) Basamaklı (çapraz etki alanı)
Catalog;Katalog
Categorization;Sınıflandırma
Category;Kategori
Caveat;Uyarı
Cbc message authentication code ;Şöz mesajı kimlik doğrulama kodu
Cbc message authentication code protocol ;Şöz mesajı kimlik doğrulama kodu kuralı
Cbeff basic structure;Obdbç temel yapısı
Cbeff client;Obdbç istemcisi
Cbeff nested structure;Obdbç iç içe yapısı
Cbeff root header;Obdbç kök başlığı Cbeff sub-header Obdbç alt başlığı Cce (common configuration enumeration) ID Ortak yapılandırma numaralandırması kimliği
Cd file system;Yoğun disk dosya sistemi Cdma (code division multiple access) subscriber identity module Kod bölüşümlü çoklu erişim abone kimlik modülü Cd-read only memory (CD- ROM) Yoğun disk salt okunur bellek Cd-recordable (CD-R) Kaydedilebilir-yoğun disk Cd-rewritable (CD-RW) Yeniden yazılabilir-yoğun disk
Cell;Hücre
Cell on wheels;Tekerlekli hücre
Cellular cyborg;Hücresel sibernetik organizma
Cellular network isolation card;Hücresel ağ yalıtım kartı
Cellular Telecommunications and Internet Association;Hücresel telekomünikasyon ve internet derneği
Center for education and research in information assurance and security ;Bilgi güvencesi ve güvenliği eğitim ve araştırma merkezi
Center for internet security;İnternet güvenliği merkezi
Center for magnetic recording research ;Manyetik kayıt araştırma merkezi
Centers for Medicare and Medicaid services;Sağlık koruma ve sağlık yardım hizmetleri merkezleri
Centers of academic excellence;Akademik mükemmeliyet merkezleri
Central bank digital currency;Merkez bankası sayısal para birimi
Central facility (or tier 0) ;Merkezi tesis (ya da katman 0)
Central facility Finksburg;Finksburg merkezi tesisi
Central limit theorem;Merkezi sınır kuramı
Central management;Merkezi yönetim
Central office of record;Merkez kayıt ofisi
Central oversight authority;Merkezi gözetim yetkilisi
Central processing unit;Merkezi işlem birimi
Central public safety service provider ;Merkezi kamu güvenliği hizmet sağlayıcısı
Central reservation system;Merkezi yer ayırma sistemi
Central security service;Merkezi güvenlik hizmeti
Central service node;Merkezi hizmet düğümü
Centralized network;Merkezi ağ
Centre for the protection of national infrastructure ;Ulusal altyapı koruma merkezi
Centric architecture;Merkezli mimari
Cert (computer emergency response team) coordination center;Bilgisayar acil durum önleme takımı eşgüdüm merkezi
Certificate;Sertifika
Certificate authority;Belgelendirme yetkisi
Certificate authority authorization;Belgelendirme yetkilisinin yetkilendirilmesi
Certificate authority;workstation Belgelendirme yetkilisi iş istasyonu
Certificate based;authentication Sertifika tabanlı kimlik doğrulama
Certificate chain;Sertifika zinciri
Certificate class;Sertifika sınıfı
Certificate enrollment policy;Sertifika kayıt politikası
Certificate enrollment service;Sertifika kayıt hizmeti
Certificate holder;Sertifika sahibi
Certificate management;Sertifika yönetimi
Certificate management authority;Sertifika yönetim yetkilisi
Certificate management service;Sertifika yönetim hizmeti
Certificate owner;Sertifika sahibi
Certificate policy;Sertifika politikası
Certificate- related information ;Sertifikayla ilgili bilgiler
Certificate revocation list;Geçersizleştirilen sertifika listesi listesi
Certificate signing request;Sertifika imzalama isteği
Certificate status authority;Sertifika durumu yetkilisi
Certificate status server;Sertifika durumu sunucusu
Certificate transparency;Sertifika şeffaflığı
Certificate usage type;Sertifika kullanım türü
Certificate user;Sertifika kullanıcısı -Sertifika-
Certificate-based authentication;Sertifika tabanlı kimlik doğrulama 
Certificate-inventory management;Sertifika envanter yönetimi
Certificate-using system;Sertifika kullanan sistem
Certification;Sertifika
Certification agent;Belgelendirme aracısı
Certification analyst;Sertifika çözümleyici
Certification and accreditation;Belgelendirme ve yeterlik onama
Certification authority;Belgelendirme yetkilisi
Certification authority revocation list ;Geçersizleştirilen belgelendirme yetkilisi listesi
Certification authority system;Belgelendirme yetkilisi sistemi
Certification authority workstation;Belgelendirme yetkilisi iş istasyonu
Certification package;Sertifika paketi
Certification path;Belgelendirme yolu
Certification practice statement;Belgelendirme uygulama bildirimi
Certification report;Sertifika raporu
Certification revocation list;Geçersizleştirilen sertifika listesi listesi
Certification test and evaluation;Sertifika testi ve değerlendirmesi
Certification accreditation and security assessments ;Belgelendirme yeterlik onama ve güvenlik değerlendirmesi
Certified tempest technical authority;Belgelendirilmiş tempest teknik yetkilisi
Certifier;Onaylayıcı
Certify;Belgelendirmek
Chain;Zincir
Chain of custody;Gözetim zinciri
Chain of evidence;Kanıt zinciri
Chain of trust;Güven zinciri Chain-based proof of stake consensus model Hisse senedi uzlaşı modelinin zincire dayalı kanıtı
Chained secure zone;Zincirli güvenli bölge
Chaining;Zincirleme
Challenge;Meydan okumak
Challenge and reply authentication;Sorgulama ve yanıtlama kimlik doğrulaması
Challenge handshake authentication protocol ;El sıkışma kimlik doğrulama protokolüne meydan okuma
Challenge response protocol;Meydan okuma yanıt kuralı 
Change control board;Kontrol panelini değiştir
Change history;Geçmişi değiştir
Change of authorization;Yetki değişikliği
Channel;Kanal
Chaos computation;Kaos bilişim
Chaos engineering;Kaos mühendisliği
Chaos theory;Kaos kuramı
Chaotic computation;Karmaşıklık bilişimi
Chaotic error;Karmaşıklık hatası kaotik hata
Characterization;Belirleme
Check fact reference;Gerçek referansını kontrol et
Check word;Kelimeyi kontrol et
Checkbox security engineering;Onaykutusu güvenlik mühendisliği
Checking disabled;Kontrol devre dışı
Checklist;Kontrol listesi
Checklist developer;Kontrol listesi geliştiricisi
Checklist group;Kontrol listesi grubu
Checklist ID;Kontrol listesi kimliği
Checklist revision;Kontrol listesi düzeltmesi
Checklist role;Kontrol listesi rolü
Checklist type;Kontrol listesi türü
Checksum;Sağlama
Chemical industry data exchange;Kimya endüstrisi veri değişimi
Chief executive officer;Baş yönetici icra kurulu başkanı
Chief financial officers council;Mali işlerden sorumlu başkanlar konseyi
Chief information officer;Bilişim baş yöneticisi
Chief information security officer;Bilgi güvenliği baş yöneticisi
Chief operating officer;Baş işletme görevlisi
Chief privacy officer;Baş gizlilik sorumlusu
Chief risk officer;Baş risk sorumlusu
Chief security officer;Baş güvenlik sorumlusu
Chief technology officer;Baş teknoloji sorumlusu Children‘s online privacy protection act Çocukların çevrimiçi gizliliğini koruma yasası
Chinese remainder theorem;Çin kalan kuramı
Chip set;Yonga kümesi
Choreography; Koreografi
Chosen ciphertext attack;Seçilmiş şifreli metin saldırısı
Cipher;Şifreci
Cipher block chaining;Şifreli blok zincirleme
Cipher block chaining;(cbc) Şifreleme öbeği zincirleme (şöz)
Cipher feedback;Şifreli geribildirim
Cipher feedback mode;Şifreli geribildirim modu
Cipher key;Şifreleme anahtarı
Cipher text;Şifreli metin Cipher text auto-key Şifreli metin otomatik anahtarı Cipher-based mac Şifre tabanlı ortam erişim denetimi Cipher-based message authentication code Şifre tabanlı ileti kimlik doğrulama kodu
